"participant";"environment";"trial";"option";"attribute"
44;"compensatory";13;2;"s"
44;"compensatory";13;2;"s"
44;"compensatory";13;4;"s"
44;"compensatory";13;4;"s"
44;"compensatory";13;4;"f"
44;"compensatory";13;4;"b"
44;"compensatory";13;4;"p"
44;"compensatory";13;4;"p"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"f"
44;"compensatory";13;3;"f"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"f"
44;"compensatory";13;3;"f"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"p"
44;"compensatory";14;1;"f"
44;"compensatory";14;1;"s"
44;"compensatory";14;1;"b"
44;"compensatory";14;1;"f"
44;"compensatory";14;1;"f"
44;"compensatory";14;1;"p"
44;"compensatory";14;1;"p"
44;"compensatory";14;1;"p"
44;"compensatory";14;3;"p"
44;"compensatory";14;3;"p"
44;"compensatory";14;3;"f"
44;"compensatory";14;3;"f"
44;"compensatory";14;3;"b"
44;"compensatory";14;3;"s"
44;"compensatory";14;3;"s"
44;"compensatory";14;3;"s"
44;"compensatory";14;1;"p"
44;"compensatory";14;1;"p"
44;"compensatory";14;1;"f"
44;"compensatory";14;1;"b"
